Economy,region,incomegroup,Year,Ease_of_Doing_Business_Rank,Overall_DTF,Starting_a_Business_Rank,Starting_a_Business_DTF,Starting_a_Business_Procedure_Men_(number),Starting_a_Business_Time_Men_(days),Starting_a_Business_Cost_Men_(%_of_income_per_capita),Starting_a_Business_Procedure_Women_(number),Starting_a_Business_Time_Women_(days),Starting_a_Business_Cost_Women_(%_of_income_per_capita),Starting_a_Business_Paid_in_min._capital_(%_of_income_per_capita),Dealing_with_Construction_Permits_Rank,Dealing_with_Construction_Permits_DTF,Dealing_with_Construction_Permits_Procedures_(number),Dealing_with_Construction_Permits_Time_(days),Dealing_with_Construction_Permits_Cost_(%_of_warehouse_value),Dealing_with_Construction_Permits_Building_quality_control_index_(0_15),Dealing_with_Construction_Permits_Quality_of_building_regulations_index_(0_2),Dealing_with_Construction_Permits_Quality_control_before_construction_index_(0_1),Dealing_with_Construction_Permits_Quality_control_during_construction_index_(0_3),Dealing_with_Construction_Permits_Quality_control_after_construction_index_(0_3),Dealing_with_Construction_Permits_Liability_and_insurance_regimes_index_(0_2),Dealing_with_Construction_Permits_Professional_certifications_index_(0_4),Getting_Electricity_Rank,Getting_Electricity_DTF,Getting_Electricity_Procedures_(number),Getting_Electricity_Time_(days),Getting_Electricity_Cost_(%_of_income_per_capita),Getting_Electricity_Reliability_of_supply_and_transparency_of_tariff_index_(0_8),Getting_Electricity_Total_duration_and_frequency_of_outages_per_customer_a_year_(0_3),Getting_Electricity_Mechanisms_for_monitoring_outages_(0_1),Getting_Electricity_Mechanisms_for_restoring_service_(0_1),Getting_Electricity_Regulatory_monitoring_(0_1),Getting_Electricity_Financial_deterrents_aimed_at_limiting_outages_(0_1),Getting_Electricity_Communication_of_tariffs_and_tariff_changes_(0_1),Getting_Electricity_Price_of_electricity_(US_cents_per_kWh),Registering_Property_Rank,Registering_Property_DTF,Registering_Property_Procedures_(number),Registering_Property_Time_(days),Registering_Property_Cost_(%_of_property_value),Registering_Property_Quality_of_the_land_administration_index_(0_30),Registering_Property_Reliability_of_infrastructure_index_(0_8),Registering_Property_Transparency_of_information_index_(0_6),Registering_Property_Geographic_coverage_index_(0_8),Registering_Property_Land_dispute_resolution_index_(0_8),Registering_Property_Equal_access_to_property_rights_index_(_2_0),Getting_Credit_Rank,Getting_Credit_DTF,Getting_Credit_Strength_of_legal_rights_index_(0_12),Getting_Credit_Strength_of_legal_rights_index_(0_10)_old_methodology,Getting_Credit_Depth_of_credit_information_index_(0_8),Getting_Credit_Depth_of_credit_information_index_(0_6)_old_methodology,Getting_Credit_Credit_registry_coverage_(%_of_adults),Getting_Credit_Credit_bureau_coverage_(%_of_adults),Protecting_Minority_Investors_Rank,Protecting_Minority_Investors_DTF,Protecting_Minority_Investors_Strength_of_minority_investor_protection_index_(0_10),Protecting_Minority_Investors_Strength_of_investor_protection_index_(0_10)_old_methodology,Protecting_Minority_Investors_Extent_of_conflict_of_interest_regulation_index_(0_10),Protecting_Minority_Investors_Extent_of_disclosure_index_(0_10),Protecting_Minority_Investors_Extent_of_director_liability_index_(0_10),Protecting_Minority_Investors_Ease_of_shareholder_suits_index_(0_10),Protecting_Minority_Investors_Ease_of_shareholder_suits_index_(0_10)_old_methodology,Protecting_Minority_Investors_Extent_of_shareholder_governance_index_(0_10),Protecting_Minority_Investors_Extent_of_shareholder_rights_index_(0_10),Protecting_Minority_Investors_Extent_of_ownership_and_control_index_(0_10),Protecting_Minority_Investors_Extent_of_corporate_transparency_index_(0_10),Paying_Taxes_Rank,Paying_Taxes_Postfiling_index_(0_100),Paying_Taxes_DTF,Paying_Taxes_Payments_(number_per_year),Paying_Taxes_Time_(hours_per_year),Paying_Taxes_Total_tax_rate_(%_of_profit),Paying_Taxes_Profit_tax_(%_of_profit),Paying_Taxes_Labor_tax_and_contributions_(%_of_profit),Paying_Taxes_Other_taxes_(%_of_profit),Paying_Taxes_Administrative_appeal_process,Trading_across_Borders_Rank,Trading_across_Borders_DTF,Trading_across_Borders_Time_to_export:_Border_compliance_(hours),Trading_across_Borders_Cost_to_export:_Border_compliance_(USD),Trading_across_Borders_Time_to_export:_Documentary_compliance_(hours),Trading_across_Borders_Cost_to_export:_Documentary_compliance_(USD),Trading_across_Borders_Time_to_import:_Border_compliance_(hours),Trading_across_Borders_Cost_to_import:_Border_compliance_(USD),Trading_across_Borders_Time_to_import:_Documentary_compliance_(hours),Trading_across_Borders_Cost_to_import:_Documentary_compliance_(USD),Trading_across_Borders_Documents_to_export_(number)_old_methodology,Trading_across_Borders_Time_to_export_(days)_old_methodology,Trading_across_Borders_Cost_to_export_(US$_per_container)_old_methodology,Trading_across_Borders_Documents_to_import_(number)_old_methodology,Trading_across_Borders_Time_to_import_(days)_old_methodology,Trading_across_Borders_Cost_to_import_(US$_per_container)_old_methodology,Enforcing_Contracts_Rank,Enforcing_Contracts_DTF,Enforcing_Contracts_Time_(days),Enforcing_Contracts_Cost_(%_of_claim),Enforcing_Contracts_Quality_of_judicial_processes_index_(0_18),Resolving_Insolvency_Rank,Resolving_Insolvency_DTF,Resolving_Insolvency_Recovery_rate_(cents_on_the_dollar),Resolving_Insolvency_Time_(years),Resolving_Insolvency_Cost_(%_of_estate),Resolving_Insolvency_Outcome_(0_as_piecemeal_sale_and_1_as_going_concern),Resolving_Insolvency_Strength_of_insolvency_framework_index_(0_16),Resolving_Insolvency_Commencement_of_proceedings_index_(0_3),Resolving_Insolvency_Management_of_debtor's_assets_index_(0_6),Resolving_Insolvency_Reorganization_proceedings_index_(0_3),Resolving_Insolvency_Creditor_participation_index_(0_4)
Canada,High income: OECD,High income,DB2005,,,,96.19,3,3.5,0.9,3,3.5,0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,79.57,6,16.5,1.8,,,,,,,,81.25,,7,,6,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.76,570,22.3,,,96.47,89.6,,3.5,,,,,,
Canada,High income: OECD,High income,DB2004,,,,96.24,3,3.5,0.6,3,3.5,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.76,570,22.3,,,96.6,89.7,,3.5,,,,,,
Central African Republic,Sub-Saharan Africa,Low income,DB2017,185,36.25,190,31.36,10,22,209.4,10,22,209.4,556.6,154,56.88,15,200,4.5,6,0,1,1,2,0,2,184,24.64,7,98,15810.3,0,0,0,0,0,0,0,11,167,41.87,5,75,11.1,3,0,0,0,3,0,139,30,6,,0,,3.1,0,145,40,4,,4.3,7,1,5,,3.7,5,4,2,187,11.8,20.56,56,483,73.3,0,19.8,53.5,N/A,138,58.64,141,280,48,60,98,209,120,500,,,,,,,182,30.46,660,82,5,146,28.13,0,4.8,76,0,9,2,5.5,0.5,1
Central African Republic,Sub-Saharan Africa,Low income,DB2016,186,36.27,190,31.36,10,22,204,10,22,204,540.1,151,57.04,15,200,4.3,6,0,1,1,2,0,2,185,24.64,7,98,15326.1,0,0,0,0,0,0,0,11.1,165,41.88,5,75,11.1,3,0,0,0,3,N/A,134,30,6,,0,,3.3,0,145,40,4,,4.3,7,1,5,,3.7,5,4,2,187,11.8,20.56,56,483,73.3,0,19.8,53.5,,136,58.64,141,280,48,60,98,209,120,500,,,,,,,182,30.46,660,82,5,145,28.13,0,4.8,76,0,9,2,5.5,0.5,1
Central African Republic,Sub-Saharan Africa,Low income,DB2015,,36.45,,31.36,10,22,226,10,22,226,607.3,,56.37,15,200,4.9,6,0,1,1,2,0,2,,24.2,7,102,17232.4,0,0,0,0,0,0,0,12,,41.84,5,75,11.1,3,0,0,0,3,,,30,6,,0,,2.6,0,,40,4,,4.3,7,1,5,7,3.7,5,4,2,,,23.47,56,483,73.3,0,19.8,53.5,,,58.64,141,280,48,60,98,209,120,500,9,46,5490,17,68,6335,,30.46,660,82,5,,28.13,0,4.8,76,0,9,2,5.5,0.5,1
Central African Republic,Sub-Saharan Africa,Low income,DB2014,,32.75,,36.12,10,22,162,10,22,162,411.4,,64.45,15,200,3.3,,,,,,,,,32.27,7,102,11674.9,,,,,,,,,,52.59,5,75,11,,,,,,,,37.5,6,6,0,0,3.1,0,,40,3.7,4,3.7,6,1,4,5,3.7,5,4,2,,,23.47,56,483,73.3,0,19.8,,,,9.44,,,,,,,,,9,46,5490,17,55,5735,,31.62,660,82,,,28.13,0,,76,0,9,2,5.5,0.5,1
Central African Republic,Sub-Saharan Africa,Low income,DB2013,,32.46,,34.78,10,22,172.6,10,22,172.6,444.1,,64.01,15,200,3.6,,,,,,,,,32.27,7,102,12603.6,,,,,,,,,,52.57,5,75,11,,,,,,,,37.5,,6,,0,2.4,0,,40,,4,,6,1,,5,,,,,,,27.1,56,483,67.4,,,,,,4.78,,,,,,,,,9,54,5491,17,62,5734,,31.62,660,82,,,0,0,,76,0,,,,,
Central African Republic,Sub-Saharan Africa,Low income,DB2012,,33.71,,37.37,8,22,175.5,8,22,175.5,452.9,,66.75,15,200,1.9,,,,,,,,,32.27,7,102,12852.1,,,,,,,,,,52.56,5,75,11,,,,,,,,37.5,,6,,0,2.2,0,,40,,4,,6,1,,5,,,,,,,34.28,54,504,54.6,,,,,,4.78,,,,,,,,,9,54,5491,17,62,5734,,31.62,660,82,,,0,0,,76,0,,,,,
Central African Republic,Sub-Saharan Africa,Low income,DB2011,,27.51,,32.33,9,24,228.4,9,24,228.4,468.6,,66.81,15,200,1.9,,,,,,,,,22.13,7,172,13298.3,,,,,,,,,,43.75,5,75,18.5,,,,,,,,18.75,,3,,0,2,0,,40,,4,,6,1,,5,,,,,,,14.89,54,504,203.8,,,,,,4.78,,,,,,,,,9,54,5491,17,62,5734,,31.62,660,82,,,0,0,,76,,,,,,
Central African Republic,Sub-Saharan Africa,Low income,DB2010,,27.5,,32.33,9,24,244.9,9,24,244.9,507.1,,66.55,15,200,2,,,,,,,,,22.13,7,172,14390.3,,,,,,,,,,43.75,5,75,18.6,,,,,,,,18.75,,3,,0,2.1,0,,40,,4,,6,1,,5,,,,,,,14.89,54,504,203.8,,,,,,4.96,,,,,,,,,9,54,5491,17,62,5554,,31.62,660,82,,,0,0,,76,,,,,,
Central African Republic,Sub-Saharan Africa,Low income,DB2009,,,,29.64,11,23,237.6,11,23,237.6,513.9,,66.5,15,200,2.1,,,,,,,,,,,,,,,,,,,,,,43.75,5,75,18.6,,,,,,,,18.75,,3,,0,1.2,0,,40,,4,,6,1,,5,,,,,,,14.89,54,504,203.8,,,,,,6.43,,,,,,,,,8,57,5121,17,66,5074,,31.62,660,82,,,0,0,,76,,,,,,
Central African Republic,Sub-Saharan Africa,Low income,DB2008,,,,29.89,11,22,210.8,11,22,210.8,531.2,,66.39,15,200,2.1,,,,,,,,,,,,,,,,,,,,,,43.75,5,75,18.6,,,,,,,,18.75,,3,,0,1.4,0,,40,,4,,6,1,,5,,,,,,,14.89,54,504,203.8,,,,,,8.58,,,,,,,,,8,57,4581,17,66,4534,,31.62,660,82,,,0,0,,76,,,,,,
Central African Republic,Sub-Saharan Africa,Low income,DB2007,,,,29.89,11,22,215,11,22,215,554.6,,66.23,15,200,2.2,,,,,,,,,,,,,,,,,,,,,,43.75,5,75,18.6,,,,,,,,18.75,,3,,0,1.1,0,,40,,4,,6,1,,5,,,,,,,14.89,54,504,203.8,,,,,,8.5,,,,,,,,,8,57,4581,17,66,4534,,31.62,660,82,,,0,0,,76,,,,,,
Central African Republic,Sub-Saharan Africa,Low income,DB2006,,,,29.89,11,22,217.4,11,22,217.4,568.1,,66.14,15,200,2.3,,,,,,,,,,,,,,,,,,,,,,43.75,5,75,19.1,,,,,,,,18.75,,3,,0,1.2,0,,40,,4,,6,1,,5,,,,,,,23.18,66,504,65.7,,,,,,7.73,,,,,,,,,8,57,4581,17,66,4534,,31.62,660,82,,,0,0,,76,,,,,,
Central African Republic,Sub-Saharan Africa,Low income,DB2005,,,,29.89,11,22,210.2,11,22,210.2,559.2,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,5,75,19.2,,,,,,,,18.75,,3,,0,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.62,660,82,,,0,0,,76,,,,,,
Central African Republic,Sub-Saharan Africa,Low income,DB2004,,,,30.11,11,22,198.3,11,22,198.3,527.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.62,660,82,,,0,0,,76,,,,,,
Chad,Sub-Saharan Africa,Low income,DB2017,180,39.07,182,51.91,9,60,159.8,9,60,159.8,22.4,133,62,13,221,8.1,11.5,1.5,0,2,3,2,3,179,32.17,6,67,8526.9,0,0,0,0,0,0,0,24.7,157,44.74,6,44,12.8,8,3,1.5,0,4.5,N/A,139,30,6,,0,,2.3,0,158,38.33,3.8,,4,7,1,4,,3.7,5,4,2,189,16.4,18.76,54,766,63.5,31.3,28.4,3.8,N/A,171,40.12,106,319,87,188,242,669,172,500,,,,,,,154,44.58,743,45.7,6.5,146,28.13,0,4,60,0,9,2,5.5,0.5,1
Chad,Sub-Saharan Africa,Low income,DB2016,183,38.25,186,41.92,9,60,150.4,9,60,150.4,201.2,131,62.23,13,221,7.9,11.5,1.5,0,2,3,2,3,179,33.53,6,67,7660.5,0,0,0,0,0,0,0,25.4,155,44.89,6,44,12.7,8,3,1.5,0,4.5,N/A,134,30,6,,0,,2.4,0,157,38.33,3.8,,4,7,1,4,,3.7,5,4,2,188,16.4,18.76,54,732,63.5,31.3,28.4,3.8,,170,40.12,106,319,87,188,242,669,172,500,,,,,,,153,44.58,743,45.7,6.5,145,28.13,0,4,60,0,9,2,5.5,0.5,1
Chad,Sub-Saharan Africa,Low income,DB2015,,38.02,,41.86,9,60,150.6,9,60,150.6,201.7,,62.23,13,221,7.9,11.5,1.5,0,2,3,2,3,,33.48,6,67,7677.5,0,0,0,0,0,0,0,25.7,,41.94,6,44,15.2,9,3,1.5,0,4.5,,,30,6,,0,,2.1,0,,38.33,3.8,,4,7,1,4,5,3.7,5,4,2,,,19.54,54,732,63.5,31.3,28.4,3.8,,,40.12,106,319,87,188,242,669,172,500,8,70,6615,11,90,9025,,44.58,743,45.7,6.5,,28.13,0,4,60,0,9,2,5.5,0.5,1
Chad,Sub-Saharan Africa,Low income,DB2014,,32.06,,34.28,9,60,186.3,9,60,186.3,251.6,,56.75,13,221,8.3,,,,,,,,,42.9,6,67,9580.1,,,,,,,,,,45.92,6,44,15.4,,,,,,,,37.5,6,6,0,0,0.8,0,,33.33,3.5,3.3,3.3,6,1,3,3,3.7,5,4,2,,,14.18,54,732,72.4,31.3,28.4,,,,10.68,,,,,,,,,8,73,6615,11,98,9025,,45.05,743,45.7,,,28.13,0,,60,0,9,2,5.5,0.5,1
Chad,Sub-Saharan Africa,Low income,DB2013,,31.7,,30.2,9,60,202,9,60,202,289.4,,56.24,13,221,8.6,,,,,,,,,42.9,6,67,11017.6,,,,,,,,,,45.92,6,44,17.9,,,,,,,,37.5,,6,,0,0.5,0,,33.33,,3.3,,6,1,,3,,,,,,,12.02,54,732,75.7,,,,,,13.82,,,,,,,,,7,75,5902,10,101,8525,,45.05,743,45.7,,,0,0,,60,0,,,,,
Chad,Sub-Saharan Africa,Low income,DB2012,,31.72,,25.54,11,53,208.5,11,53,208.5,345,,61.16,12,176,9.1,,,,,,,,,42.9,6,67,13123.8,,,,,,,,,,45.92,6,44,18.1,,,,,,,,37.5,,6,,0,0.5,0,,33.33,,3.3,,6,1,,3,,,,,,,11.98,54,732,75.8,,,,,,13.82,,,,,,,,,7,75,5902,10,101,8525,,45.05,743,45.7,,,0,0,,60,0,,,,,
Chad,Sub-Saharan Africa,Low income,DB2011,,29.05,,17.73,13,62,226.9,13,62,226.9,386.7,,61.05,12,176,9.1,,,,,,,,,42.9,6,67,14719.8,,,,,,,,,,45.92,6,44,18.2,,,,,,,,18.75,,3,,0,0.8,0,,33.33,,3.3,,6,1,,3,,,,,,,11.98,54,732,75.8,,,,,,13.82,,,,,,,,,7,75,5902,10,101,8525,,45.05,743,45.7,,,0,0,,60,,,,,,
Chad,Sub-Saharan Africa,Low income,DB2010,,29.43,,18.82,13,62,246.4,13,62,246.4,369.3,,60.83,12,176,9.3,,,,,,,,,42.9,6,67,14057,,,,,,,,,,45.92,6,44,18.7,,,,,,,,18.75,,3,,0,0.2,0,,33.33,,3.3,,6,1,,3,,,,,,,14.91,54,732,71.3,,,,,,13.82,,,,,,,,,7,75,5497,10,100,6345,,45.05,743,45.7,,,0,0,,60,,,,,,
Chad,Sub-Saharan Africa,Low income,DB2009,,,,19.08,13,62,253.1,13,62,253.1,365.1,,60.51,12,176,9.5,,,,,,,,,,,,,,,,,,,,,,45.92,6,44,18.7,,,,,,,,18.75,,3,,0,0.6,0,,33.33,,3.3,,6,1,,3,,,,,,,14.91,54,732,71.3,,,,,,13.82,,,,,,,,,7,78,5367,10,102,6215,,45.05,743,45.7,,,0,0,,60,,,,,,
Chad,Sub-Saharan Africa,Low income,DB2008,,,,17,13,62,273.3,13,62,273.3,398.4,,61.15,12,176,9.1,,,,,,,,,,,,,,,,,,,,,,45.92,6,44,18.8,,,,,,,,18.75,,3,,0,0.2,0,,33.33,,3.3,,6,1,,3,,,,,,,13.19,54,732,74,,,,,,13.82,,,,,,,,,7,78,4867,10,102,5715,,45.05,743,45.7,,,0,0,,60,,,,,,
Chad,Sub-Saharan Africa,Low income,DB2007,,,,16.9,13,62,241.6,13,62,241.6,414.1,,60.69,12,176,9.3,,,,,,,,,,,,,,,,,,,,,,45.92,6,44,18.8,,,,,,,,18.75,,3,,0,0.2,0,,33.33,,3.3,,6,1,,3,,,,,,,13.19,54,732,74,,,,,,13.82,,,,,,,,,7,78,4867,10,102,5715,,45.05,743,45.7,,,0,0,,60,,,,,,
Chad,Sub-Saharan Africa,Low income,DB2006,,,,16.9,13,62,478.4,13,62,478.4,619.1,,57.95,12,176,11,,,,,,,,,,,,,,,,,,,,,,45.92,6,44,18.9,,,,,,,,18.75,,3,,0,0.2,0,,33.33,,3.3,,6,1,,3,,,,,,,13.19,54,732,74,,,,,,13.82,,,,,,,,,7,78,4867,10,102,5715,,45.05,743,45.7,,,0,0,,60,,,,,,
Chad,Sub-Saharan Africa,Low income,DB2005,,,,16.9,13,62,483,13,62,483,610.4,,,,,,,,,,,,,,,,,,,,,,,,,,,45.92,6,44,18.9,,,,,,,,18.75,,3,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.05,743,45.7,,,0,0,,60,,,,,,
Chad,Sub-Saharan Africa,Low income,DB2004,,,,16.9,13,62,479.8,13,62,479.8,584.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.05,743,45.7,,,0,0,,60,,,,,,
Chile,High income: OECD,High income,DB2017,57,69.56,59,89.84,7,5.5,0.7,7,5.5,0.7,0,26,78.83,13,152,0.6,13,2,1,2,3,1,4,64,78.31,6,43,70.5,6,2,1,1,1,1,0,10.5,58,70.89,6,28.5,1.2,14,2,3.5,4,5.5,N/A,82,50,4,,6,,48.4,12.4,32,65,6.5,,7,8,6,7,,6,10,6,2,120,5.6,63.85,7,291,30.5,23.9,4,2.6,N/A,65,80.56,60,290,24,50,54,290,36,50,,,,,,,56,62.81,480,28.6,9,55,55.51,33.5,3.2,14.5,0,12,2.5,4.5,2,3
Chile,High income: OECD,High income,DB2016,55,69.48,56,89.84,7,5.5,0.7,7,5.5,0.7,0,22,78.78,13,152,0.6,13,2,1,2,3,1,4,59,78.31,6,43,72.3,6,2,1,1,1,1,0,10.1,57,70.89,6,28.5,1.2,14,2,3.5,4,5.5,N/A,78,50,4,,6,,45.1,11.2,30,65,6.5,,7,8,6,7,,6,10,6,2,116,5.6,64.4,7,291,28.9,22.3,4,2.6,,64,80.56,60,290,24,50,54,290,36,50,,,,,,,57,62.81,480,28.6,9,56,54.18,31,3.2,14.5,0,12,2.5,4.5,2,3
Chile,High income: OECD,High income,DB2015,,70.89,,89.83,7,5.5,0.7,7,5.5,0.7,0,,78.77,13,152,0.7,13,2,1,2,3,1,4,,78.34,6,43,62.1,6,2,1,1,1,1,0,9.8,,71.72,6,28.5,1.2,15,2,3.5,4,5.5,,,50,4,,6,,44.7,8.8,,65,6.5,,7,8,6,7,6,6,10,6,2,,,84.5,7,291,27.9,21.2,4,2.7,,,80.56,60,290,24,50,54,290,36,50,5,15,910,5,12,860,,62.81,480,28.6,9,,47.38,30,3.2,14.5,0,10,2.5,4.5,1,2
Chile,High income: OECD,High income,DB2014,,72.12,,89.83,7,5.5,0.7,7,5.5,0.7,0,,76.1,13,152,0.7,,,,,,,,,79.45,6,43,63.9,,,,,,,,,,78.95,6,28.5,1.2,,,,,,,,68.75,4,6,6,5,40.5,5.9,,66.67,6.5,6.7,7,8,6,7,6,6,10,6,2,,,84.57,7,291,27.7,21.1,3.8,,,,81.52,,,,,,,,,5,15,980,5,12,930,,63.85,480,28.6,,,47.01,29.3,,14.5,0,10,2.5,4.5,1,2
Chile,High income: OECD,High income,DB2013,,71.48,,89.36,7,5.5,4.5,7,5.5,4.5,0,,76.01,13,152,0.7,,,,,,,,,79.43,6,43,67.6,,,,,,,,,,78.53,6,31,1.3,,,,,,,,62.5,,6,,4,37.4,3.5,,66.67,,6.7,,8,6,,6,,,,,,,84.57,7,291,27.7,,,,,,81.4,,,,,,,,,5,15,980,5,12,930,,63.85,480,28.6,,,32.47,30.2,,14.5,0,,,,,
Chile,High income: OECD,High income,DB2012,,72.21,,88.78,7,7.5,5.1,7,7.5,5.1,0,,75.79,13,152,0.9,,,,,,,,,79.39,6,43,77.6,,,,,,,,,,78.51,6,31,1.3,,,,,,,,68.75,,6,,5,35.6,25.8,,66.67,,6.7,,8,6,,6,,,,,,,84.02,7,316,24.5,,,,,,80.93,,,,,,,,,5,17,795,5,15,760,,63.85,480,28.6,,,35.37,32.9,,14.5,0,,,,,
Chile,High income: OECD,High income,DB2011,,69.66,,80.31,8,34.5,6.8,8,34.5,6.8,0,,69.03,15,193,1,,,,,,,,,79.37,6,43,82.5,,,,,,,,,,78.5,6,31,1.3,,,,,,,,56.25,,4,,5,30.9,22.9,,66.67,,6.7,,8,6,,6,,,,,,,84.02,7,316,24.5,,,,,,80.56,,,,,,,,,5,17,745,5,16,710,,63.85,480,28.6,,,38.06,35.4,,14.5,,,,,,
Chile,High income: OECD,High income,DB2010,,68.27,,77.45,9,40,6.9,9,40,6.9,0,,68.97,15,193,1,,,,,,,,,79.35,6,43,88.2,,,,,,,,,,78.49,6,31,1.3,,,,,,,,56.25,,4,,5,32.9,33.9,,63.33,,6.3,,7,6,,6,,,,,,,83.47,8,316,24.8,,,,,,80.35,,,,,,,,,5,17,745,5,16,710,,63.85,480,28.6,,,31.15,28.9,,14.5,,,,,,
Chile,High income: OECD,High income,DB2009,,,,77.38,9,40,7.5,9,40,7.5,0,,68.91,15,193,1,,,,,,,,,,,,,,,,,,,,,,78.48,6,31,1.3,,,,,,,,56.25,,4,,5,28.1,34.5,,63.33,,6.3,,7,6,,6,,,,,,,83.47,8,316,25.1,,,,,,80.32,,,,,,,,,5,17,745,5,16,710,,63.85,480,28.6,,,31.15,28.9,,14.5,,,,,,
Chile,High income: OECD,High income,DB2008,,,,77.24,9,40,8.6,9,40,8.6,0,,68.45,15,193,1.3,,,,,,,,,,,,,,,,,,,,,,78.44,6,31,1.3,,,,,,,,56.25,,4,,5,26.2,33.5,,63.33,,6.3,,7,6,,6,,,,,,,83.47,8,316,25.1,,,,,,80.91,,,,,,,,,5,17,645,5,16,600,,63.85,480,28.6,,,33.76,31.4,,14.5,,,,,,
Chile,High income: OECD,High income,DB2007,,,,77.09,9,40,9.8,9,40,9.8,0,,68.39,15,193,1.3,,,,,,,,,,,,,,,,,,,,,,78.37,6,31,1.3,,,,,,,,56.25,,4,,5,31.3,19.3,,63.33,,6.3,,7,6,,6,,,,,,,83.47,8,316,25.1,,,,,,80.24,,,,,,,,,5,17,645,5,16,600,,63.85,480,28.6,,,33.63,31.2,,14.5,,,,,,
Chile,High income: OECD,High income,DB2006,,,,76.52,9,42,10.3,9,42,10.3,0,,68.18,15,193,1.5,,,,,,,,,,,,,,,,,,,,,,78.41,6,31,1.3,,,,,,,,56.25,,4,,5,25.9,22.1,,63.33,,6.3,,7,6,,6,,,,,,,83.47,8,316,25.3,,,,,,79.8,,,,,,,,,5,17,645,5,16,600,,63.85,480,28.6,,,21.98,20.4,,18,,,,,,
Chile,High income: OECD,High income,DB2005,,,,76.56,9,42,10,9,42,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,78.39,6,31,1.3,,,,,,,,56.25,,4,,5,29,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.85,480,28.6,,,20.8,19.3,,18,,,,,,
Chile,High income: OECD,High income,DB2004,,,,76.29,9,42,12.1,9,42,12.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.85,480,28.6,,,21.09,19.6,,18,,,,,,
China,East Asia & Pacific,Upper middle income,DB2017,78,64.28,127,81.02,9,28.9,0.7,9,28.9,0.7,0,177,48.52,22,244.3,7,9,0,0,0,0,0,0,97,68.73,5.5,143.2,390.4,6,2,1,0,0,1,0,14.7,42,76.15,4,19.5,3.4,18.3,,,,,0,62,60,4,,8,,91.1,21.3,123,45,4.5,,5,10,1,4,,4,1,2,9,131,48.6,60.46,9,259,68,,,,N/A,96,69.13,26,522,21,85,92,777,66,171,,,,,,,5,77.98,452.8,16.2,14.3,53,55.82,36.9,1.7,22,,11.5,,,,
China,East Asia & Pacific,Upper middle income,DB2016,80,62.86,134,77.46,11,31.4,0.7,11,31.4,0.7,0,175,48.29,22,244.3,7.2,9,0,0,0,0,0,0,92,68.66,5.5,143.2,413.3,6,2,1,0,1,1,0,14.6,42,76.15,4,19.5,3.4,18.3,,,,,N/A,78,50,4,,6,,89.5,0,118,45,4.5,,5,10,1,4,,4,1,2,9,127,48.6,60.5,9,261,67.8,,,,,94,69.13,26,522,21,85,92,777,66,171,,,,,,,4,77.98,452.8,16.2,14.3,53,55.43,36.2,1.7,22,,11.5,,,,
China,East Asia & Pacific,Upper middle income,DB2015,,63.14,,77.43,11,31.4,0.9,11,31.4,0.9,0,,47.81,22,244.3,7.6,9,,,,,,,,68.52,5.5,143.2,459.4,6,3,0,0,1,1,0,,,76.14,4,19.5,3.4,18.3,,,,,,,50,4,,6,,33.2,0,,45,4.5,,5,10,1,4,,4,1,2,9,,,64.04,9,261,68.5,,,,,,69.13,26,522,21,85,92,777,66,171,,21,823,,24,800,,77.98,452.8,16.2,14.3,,55.31,36,1.7,22,,11.5,,,,
China,East Asia & Pacific,Upper middle income,DB2014,,61.13,,68.72,13,34.4,1.9,13,34.4,1.9,78.2,,43.2,22,244.3,7.9,,,,,,,,,66.19,5.5,143.2,499.5,,,,,,,,,,81.16,4,19.5,3.4,,,,,,,,62.5,4,5,6,5,30.2,0,,50,4.5,,5,10,1,4,4,4,1,2,9,,,60.97,9,318,68.7,,,,,,71.58,,,,,,,,,,21,823,,24,800,,68.21,452.8,16.2,,,55.31,36,1.7,22,,11.5,,,,
